Territorialidades,Taxa de Distorção Idade-Série no fundamental 2017,Taxa de Distorção Idade-Série no médio 2017,IDEB anos finais do ensino fundamental 2017,% de alunos do ensino fundamental em escolas com internet 2017,% de docentes do fundamental com formação adequada 2017,Rendimento médio no setor formal 2017,Transferência per capita do Bolsa Família 2017,Transferência per capita do Benefício de Prestação Continuada 2017,Taxa de mortalidade infantil 2017,% de nascidos vivos com pelo menos sete consultas de pré-natal 2017,% de nascidos vivos com baixo peso ao nascer 2017,Taxa bruta de mortalidade 2017,% de internações por doenças relacionadas ao saneamento ambiental inadequado 2017,% de internações por condições sensíveis à atenção primária 2017,% de analfabetos com 15 anos ou mais de idade no Cadastro Único 2017,% de extremamente pobres no Cadastro Único pós Bolsa Família 2017,% de pessoas inscritas no Cadastro Único que recebem Bolsa Família 2017,% de cobertura vegetal natural 2017,% da população urbana residente em domicílios ligados à rede de abastecimento de água 2017,% da população urbana residente em domicílios ligados à rede de esgotamento sanitário 2017,% de esgoto tratado 2017,% da população urbana atendida por serviços regulares de coleta de resíduos domiciliares 2017,População total 2017
Abadia de Goiás (GO),16,29,"4,6",100,"59,6","1166,03","109,1","26,38","20,41","64,29","9,18","8,04","1,74","15,27","8,61","2,72","65,77","25,51",100,"49,84",100,100,8207
Abadia dos Dourados (MG),"7,2","13,3","5,4","89,5",51,"1007,64","48,13","158,52",0,"86,54","3,85","7,37","1,36","24,72","9,28","6,93","50,83","31,37","92,29","99,75",0,,7059
Abadiânia (GO),"12,8","15,4","5,2",100,"47,9","1054,23","37,77","110,05","19,61","59,31","6,37","4,74","0,77","11,55","10,38","6,16","44,54","37,46",,,,,18775
Abaeté (MG),"13,8",28,"4,6","98,98","71,8","1002,95","25,64","315,21","12,3","82,79","7,79","6,95","0,47","29,16","8,77","5,5","39,5","28,02","95,98","1,6",0,,23611
Abaetetuba (PA),"26,6","40,2","3,3","74,09","37,7","1073,51","287,49","220,01","15,85","53,85","7,74","4,9","5,64","25,3","6,18","55,13","86,54","62,79","25,24",,,98,153380
Abaiara (CE),"8,2","17,9","4,8",100,"56,9","803,33","259,13","97,73",0,"78,29","8,53","5,26","4,21","26,12","18,61","40,18","74,08","47,44","81,22",,,,11605
Abaíra (BA),"27,7",38,"4,4",100,"32,4","930,09","231,44","143,82",0,"70,45","6,82","8,81",0,"10,38","13,57","58,83","64,07","76,01",,,,,9199
Abaré (BA),"18,9","42,9","4,2","82,04","34,6","1050,59","238,39","62,23","18,94","81,06","8,33","3,86","5,65","41,19","12,01","74,99","88,23","45,73",100,"62,73",100,,20189
Abatiá (PR),"15,1","32,8","5,1",100,"58,1","1076,63","48,84","118,76","17,24","92,24","6,9","10,3","7,55","40,61","10,67","5,95","39,51","5,46",100,"20,92",100,100,7768
Abdon Batista (SC),15,"30,4",5,100,72,"1527,68","64,45","96,26",0,"53,66","9,76","4,61",0,"19,12","6,77","17,2","45,7","39,23",100,,,100,2604
Abelardo Luz (SC),"13,3","31,9","4,7","99,03","61,3","1288,85","114,02","146,51","21,66","75,45","8,3","4,48","4,48","34,37","6,34",34,"58,52","28,11",100,,,100,17847
Abel Figueiredo (PA),"28,1","53,6","3,6","92,36","42,5","935,56","258,92","138,39","28,17","39,44","9,86","5,67","13,32","29,17","12,96","63,69","79,59","37,21",,,,100,7231
Abre Campo (MG),"14,3","29,1","4,9","93,2","65,3","880,46","111,74","176,7",0,"74,81","8,89","9,17","7,64","29,78","8,19","42,27","68,66","16,67","79,65","79,65",0,"99,84",13733
